1,0,8,年,0,7,月,1,6,日, ,外,資,及,陸,資,買,賣,超,彙,總,表
,證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
 ,3481  ,群創            ,"82,334,814","12,616,808","69,718,006",0,0,0,"82,334,814","12,616,808","69,718,006"
 ,2317  ,鴻海            ,"20,998,674","4,467,688","16,530,986",0,0,0,"20,998,674","4,467,688","16,530,986"
 ,2313  ,華通            ,"12,173,813","2,743,000","9,430,813",0,0,0,"12,173,813","2,743,000","9,430,813"
 ,2367  ,燿華            ,"7,995,000","552,000","7,443,000",0,0,0,"7,995,000","552,000","7,443,000"
 ,2371  ,大同            ,"6,661,000","1,002,000","5,659,000",0,0,0,"6,661,000","1,002,000","5,659,000"
 ,3231  ,緯創            ,"6,755,891","1,318,000","5,437,891",0,0,0,"6,755,891","1,318,000","5,437,891"
*,2330  ,台積電          ,"18,953,292","13,689,135","5,264,157",0,0,0,"18,953,292","13,689,135","5,264,157"
 ,1102  ,亞泥            ,"6,812,604","3,524,000","3,288,604",0,0,0,"6,812,604","3,524,000","3,288,604"
 ,8150  ,南茂            ,"3,217,000","478,000","2,739,000",0,0,0,"3,217,000","478,000","2,739,000"
 ,2880  ,華南金          ,"3,695,000","1,022,420","2,672,580",0,0,0,"3,695,000","1,022,420","2,672,580"
 ,2301  ,光寶科          ,"4,756,824","2,477,000","2,279,824",0,0,0,"4,756,824","2,477,000","2,279,824"
 ,0050  ,元大台灣50      ,"2,510,216","250,000","2,260,216",0,0,0,"2,510,216","250,000","2,260,216"
 ,2340  ,光磊            ,"2,577,000","380,308","2,196,692",0,0,0,"2,577,000","380,308","2,196,692"
 ,2892  ,第一金          ,"4,724,000","2,547,895","2,176,105",0,0,0,"4,724,000","2,547,895","2,176,105"
 ,9938  ,百和            ,"3,128,000","994,000","2,134,000",0,0,0,"3,128,000","994,000","2,134,000"
 ,1504  ,東元            ,"2,702,000","725,000","1,977,000",0,0,0,"2,702,000","725,000","1,977,000"
 ,3704  ,合勤控          ,"3,241,000","1,385,000","1,856,000",0,0,0,"3,241,000","1,385,000","1,856,000"
 ,3189  ,景碩            ,"2,262,000","592,000","1,670,000",0,0,0,"2,262,000","592,000","1,670,000"
 ,1101  ,台泥            ,"12,698,950","11,055,000","1,643,950",0,0,0,"12,698,950","11,055,000","1,643,950"
 ,2324  ,仁寶            ,"3,457,624","1,881,939","1,575,685",0,0,0,"3,457,624","1,881,939","1,575,685"
