1,0,8,,0,7,る, ,2,3,3,0, ,,縩,筿, , , , , , , , , , , ,,ら,Θ,ユ,戈,癟
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
108/07/01,"66,370,875","16,445,222,750",245.50,250.00,245.00,248.50,+9.50,"29,551"
108/07/02,"26,832,202","6,671,951,743",249.50,250.00,247.50,249.00,+0.50,"12,531"
108/07/03,"29,549,774","7,190,777,082",244.00,245.00,242.00,242.50,-6.50,"16,033"
108/07/04,"18,691,240","4,561,556,160",244.50,245.00,242.50,244.00,+1.50,"8,565"
108/07/05,"27,317,074","6,624,379,927",244.50,245.00,241.50,243.00,-1.00,"9,013"
108/07/08,"29,190,909","7,057,462,187",240.00,244.50,240.00,242.50,-0.50,"10,552"
108/07/09,"16,538,987","3,998,096,596",241.50,243.00,240.50,242.00,-0.50,"6,486"
108/07/10,"23,812,131","5,839,691,357",243.00,247.00,243.00,247.00,+5.00,"12,366"
108/07/11,"31,296,289","7,809,358,257",250.00,250.00,247.50,250.00,+3.00,"14,360"
108/07/12,"23,868,432","5,984,689,000",252.00,252.00,249.50,250.50,+0.50,"8,363"
108/07/15,"34,264,300","8,663,129,910",251.00,254.50,249.50,254.50,+4.00,"12,174"
108/07/16,"26,141,249","6,678,755,679",254.00,256.50,253.50,256.00,+1.50,"8,994"
