105/06/01,317000,893000,-576000
105/06/02,72000,220000,-148000
105/06/03,6000,328000,-322000
105/06/04,141000,62000,79000
105/06/06,170000,84000,86000
105/06/07,130000,233000,-103000
105/06/08,169000,98000,71000
105/06/09,169000,98000,71000
105/06/10,169000,98000,71000
105/06/13,892000,170000,722000
105/06/14,859000,488000,371000
105/06/15,435000,123000,312000
105/06/16,992000,784000,208000
105/06/17,359000,464000,-105000
105/06/20,646000,296000,350000
105/06/21,532000,113000,419000
105/06/22,747000,383000,364000
105/06/23,31000,650000,-619000
105/06/24,1365000,5353000,-3988000
105/06/27,319000,2237000,-1918000
105/06/28,2284000,826000,1458000
