105/06/01,1181000,1866000,-685000
105/06/02,556000,918000,-362000
105/06/03,3196000,3319000,-123000
105/06/04,226000,130000,96000
105/06/06,3905000,3177000,728000
105/06/07,1397000,1837000,-440000
105/06/08,2876000,2961000,-85000
105/06/09,2876000,2961000,-85000
105/06/10,2876000,2961000,-85000
105/06/13,3812000,4329000,-517000
105/06/14,2153000,2721000,-568000
105/06/15,5664000,5866000,-202000
105/06/16,2946000,2093000,853000
105/06/17,3434000,2740000,694000
105/06/20,4211000,5635000,-1424000
105/06/21,4640000,4581000,59000
105/06/22,6515000,6584000,-69000
105/06/23,3668000,4249000,-581000
105/06/24,21530000,21567000,-37000
105/06/27,9501000,9449000,52000
105/06/28,4190000,4280000,-90000
105/06/29,5662000,5087000,575000
105/06/30,3924000,3890000,34000
105/07/01,5896000,5368000,528000
105/07/04,7807000,6179000,1628000
105/07/05,4921000,3828000,1093000
105/07/06,5049000,4270000,779000
105/07/07,2955000,2835000,120000
105/07/08,2955000,2835000,120000
105/07/11,4463000,4484000,-21000
105/07/12,3139000,4175000,-1036000
105/07/13,9215000,7648000,1567000
105/07/14,3664000,4298000,-634000
105/07/15,3584000,3920000,-336000
105/07/18,10234000,10645000,-411000
105/07/19,9425000,10333000,-908000
105/07/20,5011000,6079000,-1068000
105/07/21,5219000,4960000,259000
105/07/22,6841000,8052000,-1211000
105/07/25,3918000,4077000,-159000
105/07/26,5910000,5739000,171000
105/07/27,8032000,7704000,328000
105/07/28,5309000,4791000,518000
105/07/29,4637000,4784000,-147000
105/08/01,3607000,4026000,-419000
105/08/02,1974000,2490000,-516000
105/08/03,3695000,3812000,-117000
105/08/04,1397000,1899000,-502000
105/08/05,1762000,1315000,447000
105/08/08,2243000,2518000,-275000
105/08/09,1271000,567000,704000
105/08/10,3982000,3668000,314000
105/08/11,5730000,3722000,2008000
