105/06/01,1261200,25373746,20.11,20.18,20.06,20.09,0.03,380
105/06/02,397000,7969710,20.05,20.10,20.00,20.09,,158
105/06/03,538000,10756560,19.98,20.04,19.98,20.03,-0.06,190
105/06/04,1148500,23518909,20.52,20.52,20.42,20.48,0.45,526
105/06/06,618000,12649000,20.52,20.52,20.41,20.45,-0.03,257
105/06/07,483099,9883359,20.49,20.50,20.42,20.45,,155
105/06/08,596000,12212280,20.45,20.52,20.45,20.51,0.06,166
105/06/13,2057136,43040696,20.87,20.98,20.81,20.97,0.46,553
105/06/14,1891000,39841330,21.11,21.12,21.02,21.06,0.09,435
105/06/15,1021464,21561324,21.10,21.15,21.05,21.14,0.08,352
105/06/16,2580650,55180329,21.27,21.50,21.26,21.49,0.35,706
105/06/17,1896350,40013012,21.20,21.20,21.04,21.13,-0.36,607
105/06/20,1634010,34456297,21.12,21.14,21.04,21.07,-0.06,365
105/06/21,802000,16938870,21.10,21.17,21.08,21.09,0.02,260
105/06/22,1829120,38053940,20.82,20.84,20.77,20.84,-0.25,450
105/06/23,932060,19359505,20.78,20.80,20.73,20.75,-0.09,276
105/06/24,10391500,225481087,20.87,22.38,20.82,22.12,1.37,2399
105/06/27,6631401,147194840,22.60,22.60,21.85,21.88,-0.24,1754
105/06/28,3535050,76869467,21.88,21.88,21.61,21.64,-0.24,791
105/06/29,2110345,45715069,21.63,21.72,21.62,21.71,0.07,475
105/06/30,1309000,28354470,21.68,21.69,21.62,21.66,-0.05,363
105/07/01,2141000,46779240,21.67,21.90,21.67,21.90,0.24,488
105/07/04,5519500,122425765,22.05,22.32,22.05,22.15,0.25,1033
105/07/05,2544100,56301128,22.25,22.25,22.02,22.08,-0.07,550
105/07/06,4076906,91827908,22.35,22.58,22.35,22.54,0.46,1014
105/07/07,2484000,55972760,22.54,22.58,22.51,22.52,-0.02,597
105/07/11,2707273,60810621,22.51,22.54,22.39,22.41,-0.11,627
105/07/12,1677000,37301720,22.23,22.29,22.17,22.26,-0.15,435
105/07/13,2642000,57899000,21.93,22.00,21.82,21.99,-0.27,763
105/07/14,1737000,38227560,22.02,22.10,21.90,21.90,-0.09,547
105/07/15,2531227,55172614,21.88,21.88,21.74,21.82,-0.08,614
105/07/18,1479250,32143364,21.82,21.82,21.68,21.76,-0.06,383
105/07/19,805045,17525748,21.74,21.82,21.70,21.77,0.01,293
105/07/20,889100,19410872,21.81,21.90,21.80,21.81,0.04,276
105/07/21,2981060,64173439,21.55,21.61,21.48,21.61,-0.20,1066
105/07/22,1220000,26529970,21.78,21.81,21.69,21.71,0.10,338
105/07/25,581600,12552050,21.58,21.61,21.53,21.61,-0.10,227
105/07/26,973100,21042260,21.64,21.69,21.56,21.63,0.02,224
