105/06/01,2310000,47142490,20.41,20.53,20.35,20.53,0.27,225
105/06/02,4755143,99348842,20.84,21.00,20.79,20.94,0.41,655
105/06/03,1850000,38746540,20.92,20.98,20.88,20.91,-0.03,206
105/06/04,1297000,27477570,21.15,21.23,21.13,21.23,0.32,310
105/06/06,3372000,71132580,21.20,21.20,21.00,21.01,-0.22,251
105/06/07,1733000,36161030,20.90,20.93,20.77,20.80,-0.21,166
105/06/08,1721000,35806190,20.78,20.95,20.70,20.72,-0.08,152
105/06/13,5180719,111672158,21.45,21.64,21.45,21.63,0.91,645
105/06/14,3902000,85588120,21.90,22.00,21.81,21.90,0.27,514
105/06/15,1723000,37565100,21.90,21.92,21.66,21.73,-0.17,251
105/06/16,4005000,88904420,21.92,22.44,21.92,22.44,0.71,559
