105/06/01,2857000,60188550,21.21,21.30,20.88,20.88,-0.01,464
105/06/02,1218000,25273470,20.85,20.90,20.59,20.63,-0.25,227
105/06/03,3957000,82351420,20.87,20.99,20.67,20.71,0.08,265
105/06/04,335000,6979920,20.74,20.86,20.74,20.86,0.15,78
105/06/06,4695000,97699130,20.92,21.00,20.51,20.59,-0.27,260
105/06/07,2110000,43824020,20.73,20.94,20.61,20.68,0.09,169
105/06/08,3471000,71406760,20.72,20.80,20.33,20.55,-0.13,249
105/06/13,5621000,112577050,19.81,20.23,19.81,20.05,-0.50,280
105/06/14,3971000,77683700,19.48,19.77,19.40,19.76,-0.29,390
105/06/15,7331000,142296920,19.18,20.00,18.90,19.73,-0.03,511
105/06/16,3146000,61776940,19.70,19.79,19.52,19.70,-0.03,215
105/06/17,3882000,77766500,19.83,20.21,19.75,20.02,0.32,311
105/06/20,5801000,116162480,20.01,20.29,19.70,19.88,-0.14,280
105/06/21,5708000,115223280,19.98,20.44,19.94,20.06,0.18,355
105/06/22,8281000,165958300,19.99,20.18,19.86,20.06,,299
105/06/23,4576000,91625640,20.21,20.34,19.87,19.95,-0.11,313
105/06/24,24036000,473185780,20.07,20.25,18.99,19.53,-0.42,912
105/06/27,10066000,197045760,19.49,19.88,19.34,19.87,0.34,371
105/06/28,4527000,89484980,19.60,19.90,19.60,19.77,-0.10,207
105/06/29,6203000,125424630,20.18,20.39,20.08,20.19,0.42,425
105/06/30,4916000,101006110,20.69,20.69,20.44,20.54,0.35,412
105/07/01,6243000,129211550,20.69,20.79,20.60,20.60,0.06,292
105/07/04,8631000,181749510,20.66,21.44,20.62,21.25,0.65,622
105/07/05,5474000,116137560,21.27,21.33,21.13,21.23,-0.02,351
105/07/06,5942000,124344580,21.08,21.08,20.81,21.02,-0.21,391
105/07/07,3487000,73583020,21.18,21.22,20.96,21.06,0.04,275
105/07/11,6157000,131634750,21.15,21.58,21.12,21.56,0.50,494
105/07/12,5207000,111402430,21.50,21.65,21.27,21.45,-0.11,407
105/07/13,10440000,232306840,22.13,22.52,22.03,22.23,0.78,771
105/07/14,4687000,103628940,22.15,22.25,22.01,22.07,-0.16,334
105/07/15,4336000,95987690,22.20,22.22,22.06,22.07,,270
