105/06/01,162000,2229010,13.76,13.76,13.75,13.76,,16
105/06/02,104000,1431040,13.76,13.76,13.76,13.76,,5
105/06/03,365000,5020900,13.76,13.76,13.75,13.75,-0.01,17
105/06/04,56000,769490,13.74,13.75,13.74,13.74,-0.01,6
105/06/06,68000,934210,13.76,13.76,13.70,13.74,,16
105/06/07,1000,13750,13.75,13.75,13.75,13.75,0.01,1
105/06/08,132000,1808560,13.72,13.73,13.70,13.70,-0.05,15
105/06/13,28000,384290,13.98,13.98,13.67,13.75,0.05,15
105/06/14,10000,137450,13.75,13.75,13.70,13.75,,10
105/06/15,70000,962420,13.75,13.75,13.71,13.75,,20
105/06/16,117000,1608750,13.75,13.75,13.75,13.75,,25
105/06/17,75000,1031250,13.75,13.75,13.75,13.75,,21
105/06/20,19000,261200,13.75,13.75,13.70,13.75,,10
105/06/21,88000,1209970,13.75,13.75,13.72,13.75,,21
105/06/22,34000,467400,13.75,13.75,13.72,13.75,,15
105/06/23,15000,206450,13.85,13.85,13.75,13.75,,14
105/06/24,137000,1868840,13.75,13.75,13.58,13.58,-0.17,21
105/06/27,885000,12152630,13.75,13.75,13.69,13.73,0.15,19
105/06/28,680000,9336250,13.70,13.73,13.70,13.73,,12
105/06/29,1447000,19861180,13.73,13.73,13.70,13.73,,18
105/06/30,31000,425740,13.73,13.74,13.73,13.74,0.01,4
105/07/01,4143000,56883370,13.73,13.73,13.72,13.73,-0.01,28
105/07/04,4592000,63048320,13.73,13.74,13.73,13.74,0.01,42
105/07/05,3246000,44566980,13.73,13.73,13.71,13.73,-0.01,32
105/07/06,1118000,15347960,13.70,13.73,13.70,13.73,,19
105/07/07,1028000,14114220,13.73,13.73,13.71,13.73,,11
105/07/11,20000,274300,13.71,13.72,13.71,13.72,-0.01,4
105/07/12,11000,151250,13.75,13.75,13.75,13.75,0.03,2
105/07/13,110000,1512190,13.75,13.75,13.73,13.73,-0.02,12
105/07/14,14000,192500,13.75,13.75,13.75,13.75,0.02,1
105/07/15,15000,206250,13.75,13.75,13.75,13.75,,2
105/07/18,65000,893750,13.75,13.75,13.75,13.75,,8
105/07/19,80000,1100500,13.75,13.76,13.75,13.76,0.01,6
105/07/20,31000,426160,13.76,13.76,13.74,13.74,-0.02,9
105/07/21,132000,1816770,13.72,13.78,13.72,13.78,0.04,8
105/07/22,5192000,71295000,13.75,13.75,13.73,13.73,-0.05,47
105/07/25,3036000,41684580,13.73,13.74,13.73,13.73,,15
105/07/26,3011000,41341030,13.73,13.73,13.73,13.73,,21
