105/06/01,17000,148500,8.80,8.80,8.60,8.60,-0.05,6
105/06/02,90000,784050,8.70,8.75,8.70,8.70,0.10,10
105/06/03,47000,394850,8.55,8.55,8.35,8.40,-0.30,8
105/06/04,1000,8400,8.40,8.40,8.40,8.40,,1
105/06/06,17000,140850,8.30,8.30,8.20,8.25,-0.15,5
105/06/07,64000,540600,8.30,8.50,8.30,8.50,0.25,12
105/06/08,33000,278500,8.45,8.45,8.40,8.45,-0.05,5
105/06/13,59000,416650,7.30,7.30,7.00,7.05,-1.40,15
105/06/14,53000,376750,7.00,7.25,6.80,7.10,0.05,13
105/06/15,64000,466000,7.20,7.40,7.20,7.25,0.15,10
105/06/16,28000,199200,7.15,7.15,7.10,7.10,-0.15,5
105/06/17,143000,1108050,7.30,8.05,7.30,7.50,0.40,28
