105/06/01,743000,1115120,1.48,1.54,1.46,1.46,-0.06,24
105/06/02,113000,154660,1.42,1.42,1.32,1.32,-0.14,8
105/06/03,319000,438040,1.36,1.41,1.34,1.41,0.09,18
105/06/04,209000,299440,1.43,1.45,1.42,1.43,0.02,9
105/06/06,194000,264030,1.44,1.44,1.31,1.33,-0.10,8
105/06/07,359000,479280,1.36,1.36,1.31,1.32,-0.01,11
105/06/08,169000,226400,1.37,1.37,1.32,1.33,0.01,4
105/06/13,405000,498150,1.28,1.28,1.19,1.20,-0.13,15
105/06/14,388000,471840,1.21,1.24,1.18,1.23,0.03,17
105/06/15,485000,628480,1.27,1.33,1.26,1.32,0.09,23
105/06/16,459000,609320,1.30,1.36,1.30,1.33,0.01,15
