105/06/01,0,0,---,---,---,---,---,0
105/06/02,67000,87240,1.29,1.34,1.29,1.34,-0.04,5
105/06/03,5000,6350,1.27,1.27,1.27,1.27,-0.07,1
105/06/04,40000,46900,1.17,1.18,1.17,1.18,-0.09,2
105/06/06,10000,12000,1.20,1.20,1.20,1.20,+0.02,1
105/06/07,122000,144590,1.18,1.19,1.18,1.19,-0.01,3
105/06/08,646000,899570,1.34,1.52,1.34,1.52,+0.33,22
105/06/13,482000,740740,1.46,1.67,1.42,1.62,+0.10,21
105/06/14,243000,417450,1.67,1.78,1.67,1.70,+0.08,16
105/06/15,288000,525260,1.77,1.89,1.77,1.83,+0.13,12
105/06/16,400000,713380,1.76,1.89,1.74,1.81,-0.02,17
105/06/17,364000,704680,1.87,2.01,1.80,1.99,+0.18,15
