105/06/01,11000,13310,1.21,1.21,1.21,1.21,-0.01,1
105/06/02,161000,177450,1.14,1.15,1.06,1.06,-0.15,5
105/06/03,50000,52500,1.05,1.05,1.05,1.05,-0.01,1
105/06/04,501000,521010,1.04,1.04,1.02,1.03,-0.02,3
105/06/06,66000,74130,1.06,1.17,1.06,1.12,+0.09,4
105/06/07,80000,85130,1.12,1.12,1.05,1.07,-0.05,6
105/06/08,2000,2200,1.10,1.10,1.10,1.10,+0.03,1
105/06/13,157000,166930,1.10,1.10,1.04,1.04,-0.06,5
105/06/14,0,0,---,---,---,---,---,0
105/06/15,74000,87590,1.14,1.25,1.12,1.24,+0.20,7
105/06/16,63000,72080,1.16,1.16,1.14,1.14,-0.10,4
105/06/17,106000,138100,1.19,1.32,1.19,1.27,+0.13,7
105/06/20,115000,144740,1.26,1.32,1.24,1.24,-0.03,6
105/06/21,197000,269190,1.30,1.40,1.30,1.33,+0.09,12
105/06/22,149000,203000,1.36,1.41,1.34,1.34,+0.01,8
105/06/23,12000,15400,1.29,1.29,1.25,1.25,-0.09,2
105/06/24,20000,20100,1.02,1.02,0.99,0.99,-0.26,2
105/06/27,52000,55860,1.02,1.10,1.02,1.08,+0.09,4
105/06/28,31000,33470,1.08,1.17,1.07,1.17,+0.09,3
105/06/29,20000,23000,1.14,1.16,1.14,1.16,-0.01,2
105/06/30,0,0,---,---,---,---,---,0
105/07/01,26000,28620,1.17,1.17,1.08,1.08,-0.08,3
105/07/04,46000,49940,1.09,1.10,1.08,1.10,+0.02,3
105/07/05,41000,45810,1.12,1.12,1.11,1.11,+0.01,4
105/07/06,80000,85000,1.07,1.07,1.04,1.04,-0.07,4
105/07/07,19000,18050,0.95,0.95,0.95,0.95,-0.09,1
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,100000,70000,0.70,0.70,0.70,0.70,-0.06,1
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
105/08/03,5000,3700,0.74,0.74,0.74,0.74,-0.09,1
105/08/04,0,0,---,---,---,---,---,0
105/08/05,0,0,---,---,---,---,---,0
105/08/09,73000,52860,0.72,0.75,0.72,0.75,+0.06,6
105/08/10,73000,51240,0.72,0.72,0.66,0.66,-0.09,6
105/08/11,0,0,---,---,---,---,---,0
