105/06/01,0,0,---,---,---,---,---,0
105/06/02,20000,6500,0.32,0.33,0.32,0.33,+0.03,2
105/06/03,373000,126000,0.33,0.36,0.33,0.34,+0.01,5
105/06/04,19000,6250,0.33,0.33,0.32,0.32,-0.02,2
105/06/06,481000,150720,0.31,0.32,0.30,0.30,-0.02,6
105/06/07,175000,47960,0.28,0.28,0.27,0.28,-0.02,6
105/06/08,326000,97500,0.28,0.30,0.28,0.30,+0.02,3
105/06/13,38000,11350,0.29,0.31,0.29,0.31,+0.01,5
105/06/14,120000,35000,0.29,0.30,0.29,0.30,-0.01,2
105/06/15,10000,2800,0.28,0.28,0.28,0.28,-0.02,2
105/06/16,220000,61800,0.28,0.29,0.28,0.29,+0.01,2
105/06/17,200000,55500,0.28,0.28,0.27,0.28,-0.01,3
105/06/20,1730000,421020,0.25,0.25,0.22,0.23,-0.05,8
105/06/21,33000,7460,0.22,0.23,0.22,0.23,0.00,2
105/06/22,188000,41920,0.22,0.23,0.22,0.22,-0.01,3
