105/06/01,686000,852700,1.22,1.29,1.21,1.29,+0.07,10
105/06/02,968000,1379620,1.39,1.52,1.38,1.52,+0.23,30
105/06/03,774000,1193970,1.49,1.63,1.48,1.61,+0.09,20
105/06/04,50000,78500,1.57,1.57,1.57,1.57,-0.04,2
105/06/06,25000,46020,1.88,1.88,1.81,1.81,+0.24,2
105/06/07,90000,157600,1.74,1.76,1.74,1.76,-0.05,2
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,50000,96000,1.92,1.92,1.92,1.92,-0.14,1
105/06/15,0,0,---,---,---,---,---,0
105/06/16,180000,320400,1.78,1.78,1.78,1.78,+0.06,2
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,4000,5080,1.27,1.27,1.27,1.27,-0.04,1
105/07/18,4000,5080,1.27,1.27,1.27,1.27,0.00,1
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,135000,201310,1.51,1.51,1.49,1.49,+0.03,2
105/07/25,49000,76440,1.56,1.56,1.56,1.56,+0.07,1
