105/06/01,250000,200000,0.80,0.80,0.80,0.80,-0.06,1
105/06/02,260000,200300,0.75,0.79,0.75,0.79,-0.01,4
105/06/03,20000,15800,0.76,0.82,0.76,0.82,+0.03,2
105/06/04,10000,8200,0.82,0.82,0.82,0.82,0.00,1
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,278000,214060,0.77,0.77,0.77,0.77,+0.07,2
105/06/17,278000,200160,0.72,0.72,0.72,0.72,-0.05,4
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,200000,124000,0.62,0.62,0.62,0.62,-0.10,2
105/06/29,400000,249000,0.63,0.63,0.61,0.61,-0.01,3
105/06/30,0,0,---,---,---,---,---,0
105/07/01,200000,130000,0.64,0.66,0.64,0.66,+0.03,2
105/07/04,200000,121000,0.62,0.62,0.60,0.60,-0.06,3
